Date,Open,High,Low,Close,Adj Close,Volume
2007-12-18,222.149994,226.500000,222.000000,224.500000,127.262039,390470
2007-12-19,225.600006,226.600006,219.550003,219.750000,124.569397,197165
2007-12-20,219.100006,222.600006,212.350006,213.850006,121.224876,305216
2007-12-21,220.000000,221.899994,215.100006,219.850006,124.626106,244490
2007-12-24,219.850006,219.850006,219.850006,219.850006,124.626106,0
2007-12-27,213.850006,223.050003,213.850006,218.649994,123.945847,113251
2007-12-28,216.199997,218.600006,215.000000,216.850006,122.925514,182213
2008-01-02,215.149994,218.899994,207.300003,208.949997,118.447243,152358
2008-01-03,207.949997,212.899994,204.050003,210.949997,119.580994,368094
2008-01-04,209.899994,210.250000,201.050003,203.800003,115.527885,290215
2008-01-07,202.850006,204.600006,196.899994,201.500000,114.224060,289766
2008-01-08,204.000000,212.750000,202.550003,209.500000,118.759010,293178
2008-01-09,207.500000,209.949997,202.100006,206.100006,116.831680,410640
2008-01-10,207.399994,210.500000,203.000000,204.649994,116.009705,205779
2008-01-11,204.600006,208.300003,196.399994,198.300003,112.410088,361475
2008-01-14,199.000000,207.500000,198.800003,205.699997,116.604912,317612
2008-01-15,202.199997,204.699997,196.500000,198.250000,113.118622,237165
2008-01-16,198.250000,198.250000,185.100006,187.750000,107.127495,554464
2008-01-17,189.199997,194.500000,183.000000,184.750000,105.415726,501110
2008-01-18,184.949997,187.800003,178.850006,181.600006,103.618378,634433
2008-01-21,179.000000,179.000000,165.399994,166.149994,94.802834,643878
2008-01-22,166.149994,175.000000,152.050003,169.199997,96.543098,911650
2008-01-23,169.199997,173.000000,162.550003,164.649994,93.946960,416238
2008-01-24,170.000000,177.949997,169.000000,174.550003,99.595764,618348
2008-01-25,176.000000,180.600006,172.000000,172.949997,98.682816,538749
2008-01-28,168.600006,171.699997,166.699997,169.949997,96.971054,561593
2008-01-29,169.949997,181.500000,169.949997,179.949997,102.676910,434779
2008-01-30,178.699997,181.199997,173.000000,174.250000,99.424576,362508
2008-01-31,175.000000,178.850006,166.000000,169.649994,96.799873,639758
2008-02-01,175.300003,178.000000,172.699997,178.000000,101.564270,351478
2008-02-04,179.899994,181.500000,178.250000,179.500000,102.420128,241839
2008-02-05,179.399994,181.000000,166.250000,167.300003,95.458992,467397
2008-02-06,165.050003,170.000000,165.050003,168.350006,96.058121,336831
2008-02-07,168.149994,168.149994,161.199997,162.350006,92.634605,333863
2008-02-08,164.949997,168.300003,163.000000,166.850006,95.202248,199058
2008-02-11,166.300003,167.800003,163.550003,166.949997,95.259308,238464
2008-02-12,169.449997,174.199997,165.000000,173.300003,98.882515,266415
2008-02-13,171.949997,176.750000,170.100006,174.850006,99.766930,262186
2008-02-14,177.800003,179.699997,175.500000,177.149994,101.079269,360779
2008-02-15,176.550003,179.300003,170.500000,172.750000,98.568695,298913
2008-02-18,174.300003,179.399994,174.300003,178.899994,102.077805,187047
2008-02-19,178.149994,181.300003,173.800003,177.800003,101.450142,190183
2008-02-20,177.800003,177.800003,173.050003,175.199997,99.966629,152032
2008-02-21,177.100006,180.250000,176.449997,177.000000,100.993683,182825
2008-02-22,174.600006,175.899994,171.850006,175.100006,99.909592,268595
2008-02-25,177.000000,178.449997,172.800003,174.500000,99.567207,301364
2008-02-26,175.199997,177.899994,173.600006,174.800003,99.738419,251960
2008-02-27,175.449997,176.399994,167.000000,171.699997,97.969589,422766
2008-02-28,168.300003,172.000000,167.600006,169.899994,96.942535,289184
2008-02-29,169.500000,170.850006,166.149994,169.000000,96.429001,374698
2008-03-03,166.449997,167.449997,162.149994,162.500000,92.720184,248814
2008-03-04,162.550003,164.800003,155.149994,157.199997,89.696075,538695
2008-03-05,158.300003,164.000000,157.800003,163.850006,93.490486,337892
2008-03-06,164.949997,165.600006,160.899994,161.949997,92.406364,278366
2008-03-07,157.800003,162.899994,156.199997,160.699997,91.693138,207901
2008-03-10,159.949997,165.000000,157.949997,161.949997,92.406364,454741
2008-03-11,162.750000,167.149994,158.600006,166.250000,94.859894,364161
2008-03-12,170.699997,173.199997,169.399994,170.600006,97.341957,384224
2008-03-13,167.600006,169.250000,165.800003,168.949997,96.400467,218698
2008-03-14,169.000000,172.350006,166.750000,169.250000,96.571640,225216
2008-03-17,163.199997,167.899994,162.500000,162.550003,92.748726,291209
2008-03-18,167.300003,168.000000,164.199997,166.899994,95.230782,297678
2008-03-19,169.199997,169.949997,163.000000,163.199997,93.119576,213271
2008-03-20,161.149994,164.850006,159.100006,161.600006,92.206673,246238
2008-03-25,161.600006,168.399994,161.600006,166.550003,95.031052,290148
2008-03-26,166.500000,167.100006,164.500000,165.500000,94.431953,184084
2008-03-27,166.199997,174.000000,165.000000,171.899994,98.083687,279691
2008-03-28,173.050003,175.000000,168.050003,170.449997,97.256348,347615
2008-03-31,170.300003,171.300003,167.649994,169.649994,96.799873,244747
2008-04-01,169.500000,172.800003,168.350006,171.649994,97.941055,284674
2008-04-02,173.250000,173.300003,169.350006,170.399994,97.227844,233885
2008-04-03,170.399994,174.850006,170.000000,174.850006,99.766930,301525
2008-04-04,175.500000,176.949997,172.000000,173.500000,98.996628,208049
2008-04-07,174.449997,175.850006,172.300003,173.199997,98.825447,132646
2008-04-08,173.250000,173.699997,168.000000,170.199997,97.113686,258438
2008-04-09,169.750000,173.750000,169.500000,172.000000,98.140724,255762
2008-04-10,170.850006,170.850006,164.500000,166.550003,95.031052,244549
2008-04-11,167.149994,168.850006,162.699997,163.199997,93.119576,198453
2008-04-14,161.800003,162.500000,159.699997,160.500000,91.579033,168186
2008-04-15,160.600006,163.300003,159.350006,161.699997,92.263710,173589
2008-04-16,161.699997,168.649994,161.699997,167.600006,95.630188,212962
2008-04-17,167.899994,171.350006,166.399994,168.800003,96.314903,260752
2008-04-18,169.600006,173.000000,167.300003,172.000000,98.140724,218116
2008-04-21,172.199997,173.000000,168.850006,170.300003,97.170761,153301
2008-04-22,169.250000,169.949997,166.600006,168.350006,96.058121,229886
2008-04-23,171.500000,182.800003,171.500000,182.350006,104.046333,823702
2008-04-24,180.600006,185.000000,176.000000,180.949997,103.247498,475446
2008-04-25,182.399994,187.300003,181.199997,186.250000,106.271622,313148
2008-04-28,186.350006,189.449997,183.550003,186.699997,106.528374,198862
2008-04-29,185.050003,186.000000,181.199997,181.800003,103.732483,215650
2008-04-30,181.850006,185.000000,179.050003,183.750000,104.845139,186076
2008-05-02,187.050003,190.600006,186.000000,189.000000,107.840721,266651
2008-05-05,188.949997,190.399994,186.750000,189.899994,108.354233,109728
2008-05-06,189.050003,190.899994,188.149994,188.899994,107.783661,205929
2008-05-07,189.899994,190.850006,183.800003,185.050003,105.586899,333264
2008-05-08,182.949997,186.000000,180.000000,182.500000,104.131905,312111
2008-05-09,181.500000,182.750000,178.449997,178.600006,101.906616,185997
2008-05-12,180.149994,182.199997,178.250000,178.550003,101.878082,185573
2008-05-13,182.899994,182.899994,175.000000,175.449997,100.109283,278189
2008-05-14,175.949997,182.699997,175.949997,182.300003,104.017799,258244
2008-05-15,181.050003,183.750000,180.000000,182.449997,104.103348,196901
2008-05-16,184.449997,188.550003,183.350006,185.000000,105.558357,257613
2008-05-19,185.399994,189.500000,184.750000,189.500000,108.126015,139283
2008-05-20,188.949997,188.949997,184.500000,185.149994,105.643944,212331
2008-05-21,185.149994,186.550003,181.199997,183.949997,104.959259,144236
2008-05-22,182.100006,190.149994,181.750000,189.050003,107.869255,324661
2008-05-23,190.850006,192.899994,187.649994,188.050003,107.298645,303352
2008-05-26,186.500000,187.850006,184.399994,185.300003,105.729561,115424
2008-05-27,186.899994,186.899994,181.100006,184.050003,105.016327,176239
2008-05-28,185.399994,186.949997,182.000000,185.300003,105.729561,227202
2008-05-29,185.350006,189.000000,183.399994,184.699997,105.387199,136933
2008-05-30,185.949997,186.000000,182.250000,182.750000,104.274536,179913
2008-06-02,182.949997,185.350006,177.500000,178.100006,101.621346,210782
2008-06-03,177.949997,180.850006,177.149994,180.750000,103.133385,179130
2008-06-04,179.800003,179.800003,175.600006,177.300003,101.164871,211831
2008-06-05,177.100006,184.600006,177.100006,181.449997,103.532784,269174
2008-06-06,183.300003,185.500000,172.550003,173.250000,98.853989,359524
2008-06-09,171.949997,172.699997,166.250000,168.550003,96.172256,220675
2008-06-10,166.750000,172.949997,165.000000,171.149994,97.655739,357413
2008-06-11,171.250000,174.550003,164.800003,165.000000,94.146652,234714
2008-06-12,165.199997,172.550003,163.550003,171.250000,97.712814,237969
2008-06-13,171.250000,171.250000,163.699997,167.600006,95.630188,362548
2008-06-16,167.000000,172.149994,167.000000,169.899994,96.942535,186241
2008-06-17,169.899994,171.899994,168.500000,168.649994,96.229279,157724
